Model,Param1,Param2,Param3,Micro_Avg_F1
CRF,c1=0.01,c2=0.1,iter=50,67.7%
CRF,c1=0.01,c2=0.1,iter=100,67.2%
CRF,c1=0.01,c2=0.1,iter=200,66.9%
CRF,c1=0.01,c2=0.1,iter=500,67.0%
CRF,c1=0.01,c2=0.5,iter=50,67.0%
CRF,c1=0.01,c2=0.5,iter=100,66.9%
CRF,c1=0.01,c2=0.5,iter=200,67.0%
CRF,c1=0.01,c2=0.5,iter=500,67.0%
CRF,c1=0.01,c2=1.0,iter=50,67.0%
CRF,c1=0.01,c2=1.0,iter=100,67.0%
CRF,c1=0.01,c2=1.0,iter=200,67.4%
CRF,c1=0.01,c2=1.0,iter=500,67.0%
CRF,c1=0.01,c2=5.0,iter=50,66.9%
CRF,c1=0.01,c2=5.0,iter=100,67.3%
CRF,c1=0.01,c2=5.0,iter=200,67.3%
CRF,c1=0.01,c2=5.0,iter=500,67.3%
CRF,c1=0.1,c2=0.1,iter=50,67.7%
CRF,c1=0.1,c2=0.1,iter=100,67.3%
CRF,c1=0.1,c2=0.1,iter=200,67.5%
CRF,c1=0.1,c2=0.1,iter=500,67.4%
CRF,c1=0.1,c2=0.5,iter=50,67.6%
CRF,c1=0.1,c2=0.5,iter=100,67.5%
CRF,c1=0.1,c2=0.5,iter=200,67.5%
CRF,c1=0.1,c2=0.5,iter=500,67.5%
CRF,c1=0.1,c2=1.0,iter=50,67.1%
CRF,c1=0.1,c2=1.0,iter=100,66.9%
CRF,c1=0.1,c2=1.0,iter=200,67.5%
CRF,c1=0.1,c2=1.0,iter=500,67.1%
CRF,c1=0.1,c2=5.0,iter=50,67.3%
CRF,c1=0.1,c2=5.0,iter=100,67.4%
CRF,c1=0.1,c2=5.0,iter=200,67.3%
CRF,c1=0.1,c2=5.0,iter=500,67.3%
CRF,c1=0.5,c2=0.1,iter=50,67.6%
CRF,c1=0.5,c2=0.1,iter=100,67.4%
CRF,c1=0.5,c2=0.1,iter=200,67.3%
CRF,c1=0.5,c2=0.1,iter=500,67.5%
CRF,c1=0.5,c2=0.5,iter=50,67.6%
CRF,c1=0.5,c2=0.5,iter=100,67.4%
CRF,c1=0.5,c2=0.5,iter=200,67.4%
CRF,c1=0.5,c2=0.5,iter=500,67.4%
CRF,c1=0.5,c2=1.0,iter=50,67.3%
CRF,c1=0.5,c2=1.0,iter=100,67.4%
CRF,c1=0.5,c2=1.0,iter=200,67.3%
CRF,c1=0.5,c2=1.0,iter=500,67.4%
CRF,c1=0.5,c2=5.0,iter=50,67.4%
CRF,c1=0.5,c2=5.0,iter=100,67.4%
CRF,c1=0.5,c2=5.0,iter=200,67.4%
CRF,c1=0.5,c2=5.0,iter=500,67.5%
CRF,c1=1.0,c2=0.1,iter=50,67.2%
CRF,c1=1.0,c2=0.1,iter=100,67.4%
CRF,c1=1.0,c2=0.1,iter=200,67.3%
CRF,c1=1.0,c2=0.1,iter=500,67.4%
CRF,c1=1.0,c2=0.5,iter=50,67.5%
CRF,c1=1.0,c2=0.5,iter=100,67.4%
CRF,c1=1.0,c2=0.5,iter=200,67.4%
CRF,c1=1.0,c2=0.5,iter=500,67.4%
CRF,c1=1.0,c2=1.0,iter=50,67.3%
CRF,c1=1.0,c2=1.0,iter=100,67.4%
CRF,c1=1.0,c2=1.0,iter=200,67.4%
CRF,c1=1.0,c2=1.0,iter=500,67.4%
CRF,c1=1.0,c2=5.0,iter=50,67.2%
CRF,c1=1.0,c2=5.0,iter=100,67.3%
CRF,c1=1.0,c2=5.0,iter=200,67.4%
CRF,c1=1.0,c2=5.0,iter=500,67.5%
MEM,C=0.01,iter=100,N/A,63.7%
MEM,C=0.01,iter=500,N/A,63.7%
MEM,C=0.01,iter=1500,N/A,63.7%
MEM,C=0.1,iter=100,N/A,66.2%
MEM,C=0.1,iter=500,N/A,66.2%
MEM,C=0.1,iter=1500,N/A,66.2%
MEM,C=1.0,iter=100,N/A,66.1%
MEM,C=1.0,iter=500,N/A,66.1%
MEM,C=1.0,iter=1500,N/A,66.1%
MEM,C=10.0,iter=100,N/A,65.6%
MEM,C=10.0,iter=500,N/A,65.6%
MEM,C=10.0,iter=1500,N/A,65.6%
MEM,C=100.0,iter=100,N/A,65.8%
MEM,C=100.0,iter=500,N/A,65.8%
MEM,C=100.0,iter=1500,N/A,65.8%
SVM,C=0.1,kernel=linear,N/A,67.3%
SVM,C=0.1,kernel=rbf,N/A,57.1%
SVM,C=0.1,kernel=poly,N/A,38.8%
SVM,C=1.0,kernel=linear,N/A,66.8%
SVM,C=1.0,kernel=rbf,N/A,67.7%
SVM,C=1.0,kernel=poly,N/A,65.1%
SVM,C=10.0,kernel=linear,N/A,66.3%
SVM,C=10.0,kernel=rbf,N/A,67.5%
SVM,C=10.0,kernel=poly,N/A,66.4%
SVM,C=100.0,kernel=linear,N/A,66.2%
SVM,C=100.0,kernel=rbf,N/A,67.5%
SVM,C=100.0,kernel=poly,N/A,66.4%
