Model,Param1,Param2,Param3,Micro_Avg_F1
CRF,c1=0.01,c2=0.1,iter=50,67.7%
CRF,c1=0.01,c2=0.1,iter=100,68.2%
CRF,c1=0.01,c2=0.1,iter=200,68.0%
CRF,c1=0.01,c2=0.1,iter=500,67.9%
CRF,c1=0.01,c2=0.5,iter=50,68.2%
CRF,c1=0.01,c2=0.5,iter=100,68.1%
CRF,c1=0.01,c2=0.5,iter=200,68.0%
CRF,c1=0.01,c2=0.5,iter=500,68.1%
CRF,c1=0.01,c2=1.0,iter=50,67.7%
CRF,c1=0.01,c2=1.0,iter=100,68.2%
CRF,c1=0.01,c2=1.0,iter=200,67.8%
CRF,c1=0.01,c2=1.0,iter=500,67.8%
CRF,c1=0.01,c2=5.0,iter=50,67.6%
CRF,c1=0.01,c2=5.0,iter=100,67.7%
CRF,c1=0.01,c2=5.0,iter=200,67.7%
CRF,c1=0.01,c2=5.0,iter=500,67.6%
CRF,c1=0.1,c2=0.1,iter=50,68.1%
CRF,c1=0.1,c2=0.1,iter=100,68.1%
CRF,c1=0.1,c2=0.1,iter=200,68.0%
CRF,c1=0.1,c2=0.1,iter=500,68.2%
CRF,c1=0.1,c2=0.5,iter=50,67.8%
CRF,c1=0.1,c2=0.5,iter=100,67.8%
CRF,c1=0.1,c2=0.5,iter=200,68.3%
CRF,c1=0.1,c2=0.5,iter=500,68.0%
CRF,c1=0.1,c2=1.0,iter=50,67.3%
CRF,c1=0.1,c2=1.0,iter=100,67.8%
CRF,c1=0.1,c2=1.0,iter=200,67.9%
CRF,c1=0.1,c2=1.0,iter=500,68.0%
CRF,c1=0.1,c2=5.0,iter=50,67.7%
CRF,c1=0.1,c2=5.0,iter=100,67.7%
CRF,c1=0.1,c2=5.0,iter=200,67.7%
CRF,c1=0.1,c2=5.0,iter=500,67.8%
CRF,c1=0.5,c2=0.1,iter=50,67.8%
CRF,c1=0.5,c2=0.1,iter=100,67.7%
CRF,c1=0.5,c2=0.1,iter=200,67.8%
CRF,c1=0.5,c2=0.1,iter=500,67.9%
CRF,c1=0.5,c2=0.5,iter=50,67.8%
CRF,c1=0.5,c2=0.5,iter=100,68.0%
CRF,c1=0.5,c2=0.5,iter=200,67.9%
CRF,c1=0.5,c2=0.5,iter=500,68.0%
CRF,c1=0.5,c2=1.0,iter=50,67.8%
CRF,c1=0.5,c2=1.0,iter=100,68.0%
CRF,c1=0.5,c2=1.0,iter=200,68.0%
CRF,c1=0.5,c2=1.0,iter=500,68.0%
CRF,c1=0.5,c2=5.0,iter=50,67.7%
CRF,c1=0.5,c2=5.0,iter=100,67.7%
CRF,c1=0.5,c2=5.0,iter=200,67.8%
CRF,c1=0.5,c2=5.0,iter=500,67.8%
CRF,c1=1.0,c2=0.1,iter=50,67.5%
CRF,c1=1.0,c2=0.1,iter=100,67.5%
CRF,c1=1.0,c2=0.1,iter=200,67.8%
CRF,c1=1.0,c2=0.1,iter=500,67.8%
CRF,c1=1.0,c2=0.5,iter=50,67.7%
CRF,c1=1.0,c2=0.5,iter=100,67.7%
CRF,c1=1.0,c2=0.5,iter=200,68.0%
CRF,c1=1.0,c2=0.5,iter=500,68.0%
CRF,c1=1.0,c2=1.0,iter=50,67.7%
CRF,c1=1.0,c2=1.0,iter=100,67.8%
CRF,c1=1.0,c2=1.0,iter=200,67.9%
CRF,c1=1.0,c2=1.0,iter=500,67.9%
CRF,c1=1.0,c2=5.0,iter=50,67.4%
CRF,c1=1.0,c2=5.0,iter=100,67.5%
CRF,c1=1.0,c2=5.0,iter=200,67.7%
CRF,c1=1.0,c2=5.0,iter=500,67.9%
MEM,C=0.01,N/A,N/A,62.5%
MEM,C=0.1,N/A,N/A,66.2%
MEM,C=1.0,N/A,N/A,66.2%
MEM,C=10.0,N/A,N/A,66.3%
MEM,C=100.0,N/A,N/A,66.1%
SVM,C=0.1,kernel=linear,N/A,67.7%
SVM,C=0.1,kernel=rbf,N/A,53.3%
SVM,C=0.1,kernel=poly,N/A,36.5%
SVM,C=1.0,kernel=linear,N/A,66.2%
SVM,C=1.0,kernel=rbf,N/A,67.1%
SVM,C=1.0,kernel=poly,N/A,64.8%
SVM,C=10.0,kernel=linear,N/A,66.1%
SVM,C=10.0,kernel=rbf,N/A,67.6%
SVM,C=10.0,kernel=poly,N/A,65.7%
SVM,C=100.0,kernel=linear,N/A,66.1%
SVM,C=100.0,kernel=rbf,N/A,67.6%
SVM,C=100.0,kernel=poly,N/A,65.7%
